name,url,locale,dates,priceRanges,ticketLimit
Taylor Swift w/ Paramore,https://www.ticketmaster.com/event/Z7r9jZ1AdQdFE,en-us,2023-03-17,,
Taylor Swift w/ Paramore,https://www.ticketmaster.com/event/Z7r9jZ1Ad_J_e,en-us,2023-03-18,,
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-las-vegas-nevada-03-24-2023/event/17005D6AB85B1125,en-us,2023-03-24,"[{'type': 'standard', 'currency': 'USD', 'min': 44.95, 'max': 514.68}]",{'info': 'There is a six (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-las-vegas-nevada-03-25-2023/event/17005D5BDBD8368F,en-us,2023-03-25,"[{'type': 'standard', 'currency': 'USD', 'min': 44.95, 'max': 523.85}]",{'info': 'There is a six (8) ticket limit to this event.'}
Taylor Swift w/ Muna,https://www.ticketmaster.com/event/Z7r9jZ1AdQdjJ,en-us,2023-03-31,,
Taylor Swift w/ beabadoobee,https://www.ticketmaster.com/event/Z7r9jZ1Ad_J_8,en-us,2023-04-01,,
Taylor Swift w/ beabadoobee,https://www.ticketmaster.com/event/Z7r9jZ1Ad_J_a,en-us,2023-04-02,,
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-13-2023/event/0D005D6AC480CE13,en-us,2023-04-13,"[{'type': 'standard', 'currency': 'USD', 'min': 49.0, 'max': 561.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-14-2023/event/0D005D64A7A5C811,en-us,2023-04-14,"[{'type': 'standard', 'currency': 'USD', 'min': 49.0, 'max': 561.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-tampa-florida-04-15-2023/event/0D005D5CEB55AC65,en-us,2023-04-15,"[{'type': 'standard', 'currency': 'USD', 'min': 49.0, 'max': 571.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-21-2023/event/3A005D69B5754232,en-us,2023-04-21,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-22-2023/event/3A005D5C9AA82C37,en-us,2023-04-22,"[{'type': 'standard', 'currency': 'USD', 'min': 109.0, 'max': 571.0}]",
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-houston-texas-04-23-2023/event/3A005D6A3DEF87BA,en-us,2023-04-23,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-28-2023/event/0E005D5F947A6BA4,en-us,2023-04-28,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",{'info': 'There is a six (6) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-29-2023/event/0E005D5F94526B9F,en-us,2023-04-29,"[{'type': 'standard', 'currency': 'USD', 'min': 109.0, 'max': 571.0}]",{'info': 'There is a six (6) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-atlanta-georgia-04-30-2023/event/0E005D6AF1084D3B,en-us,2023-04-30,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",{'info': 'There is a six (6) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-nashville-tennessee-05-05-2023/event/1B005D6329C3A010,en-us,2023-05-05,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-nashville-tennessee-05-06-2023/event/1B005D5B35FCB687,en-us,2023-05-06,"[{'type': 'standard', 'currency': 'USD', 'min': 109.0, 'max': 571.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-nashville-tennessee-05-07-2023/event/1B005D6595044984,en-us,2023-05-07,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",{'info': 'There is an eight (8) ticket limit to this event.'}
Taylor Swift | The Eras Tour,https://www.ticketmaster.com/taylor-swift-the-eras-tour-philadelphia-pennsylvania-05-12-2023/event/02005D5B91172607,en-us,2023-05-12,"[{'type': 'standard', 'currency': 'USD', 'min': 99.0, 'max': 561.0}]",{'info': 'There is an overall 8 ticket limit for this event.'}
